ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,storage_medium,qc_flag,flag_reason,qc_log,ufn_sort
U180,scale,BSC5-4,BSC5,4,BSC5-4,NA,collected,Dry,N,NA,NA,180
U181,scale,BSC4-29,BSC4,29,BSC4-29,NA,collected,Dry,N,NA,NA,181
U182,scale,BSC4-31,BSC4,31,BSC4-31,NA,collected,Dry,N,NA,NA,182
U183,scale,BSC4-35,BSC4,35,BSC4-35,NA,collected,Dry,N,NA,NA,183
U184,scale,BSC4-36,BSC4,36,BSC4-36,NA,collected,Dry,N,NA,NA,184
U185,scale,BSC4-41,BSC4,41,BSC4-41,NA,collected,Dry,N,NA,NA,185
U186,scale,BSC4-44,BSC4,44,BSC4-44,NA,collected,Dry,N,NA,NA,186
U187,scale,BSC4-47,BSC4,47,BSC4-47,NA,collected,Dry,N,NA,NA,187
U188,scale,BSC4-50,BSC4,50,BSC4-50,NA,collected,Dry,N,NA,NA,188
U189,scale,BSC5-3,BSC5,3,BSC5-3,NA,collected,Dry,N,NA,NA,189
U190,scale,BSC1-24,BSC1,24,BSC1-24,NA,collected,Dry,N,NA,NA,190
U191,scale,BSC5-1,BSC5,1,BSC5-1,NA,collected,Dry,N,NA,NA,191
U192,scale,BSC5-5,BSC5,5,BSC5-5,NA,collected,Dry,N,NA,NA,192
U193,scale,BSC5-6,BSC5,6,BSC5-6,NA,collected,Dry,N,NA,NA,193
U194,scale,BSC5-9,BSC5,9,BSC5-9,NA,collected,Dry,N,NA,NA,194
U195,scale,BSC42-10,BSC42,10,BSC42-10,NA,collected,Dry,N,NA,NA,195
U196,scale,BSC1-23,BSC1,23,BSC1-23,NA,collected,Dry,N,NA,NA,196
U197,scale,BSC5-11,BSC5,11,BSC5-11,NA,collected,Dry,N,NA,NA,197
U198,scale,BSC42-15,BSC42,15,BSC42-15,NA,collected,Dry,N,NA,NA,198
U199,scale,BSC42-17,BSC42,17,BSC42-17,NA,collected,Dry,N,NA,NA,199
U200,scale,BSC5-13,BSC5,13,BSC5-13,NA,collected,Dry,N,NA,NA,200
U201,scale,BSC5-7,BSC5,7,BSC5-7,NA,collected,Dry,N,NA,NA,201
U202,scale,BSC5-8,BSC5,8,BSC5-8,NA,collected,Dry,N,NA,NA,202
U203,scale,BSC5-10,BSC5,10,BSC5-10,NA,collected,Dry,N,NA,NA,203
U204,scale,BSC42-11,BSC42,11,BSC42-11,NA,collected,Dry,N,NA,NA,204
U205,scale,BSC42-12,BSC42,12,BSC42-12,NA,collected,Dry,N,NA,NA,205
U206,scale,BSC42-14,BSC42,14,BSC42-14,NA,collected,Dry,N,NA,NA,206
U207,scale,BSC5-15,BSC5,15,BSC5-15,NA,collected,Dry,N,NA,NA,207
U208,scale,BSC5-18,BSC5,18,BSC5-18,NA,collected,Dry,N,NA,NA,208
U209,scale,BSC5-19,BSC5,19,BSC5-19,NA,collected,Dry,N,NA,NA,209
U210,scale,BSC5-21,BSC5,21,BSC5-21,NA,collected,Dry,N,NA,NA,210
U211,scale,BSC42-13,BSC42,13,BSC42-13,NA,collected,Dry,N,NA,NA,211
U212,scale,BSC42-16,BSC42,16,BSC42-16,NA,collected,Dry,N,NA,NA,212
U213,scale,BSC5-12,BSC5,12,BSC5-12,NA,collected,Dry,N,NA,NA,213
U214,scale,BSC5-17,BSC5,17,BSC5-17,NA,collected,Dry,N,NA,NA,214
U215,scale,BSC5-23,BSC5,23,BSC5-23,NA,collected,Dry,N,NA,NA,215
U216,scale,BSC5-24,BSC5,24,BSC5-24,NA,collected,Dry,N,NA,NA,216
U217,scale,BSC12-1,BSC12,1,BSC12-1,NA,collected,Dry,N,NA,NA,217
U218,scale,BSC12-2,BSC12,2,BSC12-2,NA,collected,Dry,N,NA,NA,218
U219,scale,BSC12-3,BSC12,3,BSC12-3,NA,collected,Dry,N,NA,NA,219
U220,scale,BSC12-4,BSC12,4,BSC12-4,NA,collected,Dry,N,NA,NA,220
