ufn,date_liced,lab_count_fine_no_id,lab_count_fine_total,lep_cop,lep_cunifer_cop,lep_chal_a,lep_chal_b,lep_pa_m_1,lep_pa_m_2,lep_pa_f_1,lep_pa_f_2,lep_pa_unid,lep_a_m,lep_a_f,lep_grav_f,cal_cop,cal_chal_a_1,cal_chal_a_2,cal_chal_b_3,cal_chal_b_4_f,cal_chal_b_4_m,cal_chal_4_unid,cal_chal_a_unid,cal_chal_b_unid,cal_pa_m,cal_pa_f,cal_a_m,cal_a_f,cal_grav_f,cal_mot_unid,unid_louse,sealice_comments
U1349,2017-01-24,22,23,0,0,4,0,0,0,0,0,0,0,0,0,4,3,4,3,1,1,0,0,0,1,1,1,0,0,0,0,NA
U1350,2017-01-24,17,19,0,0,1,0,0,0,0,0,0,0,0,0,4,5,2,3,4,0,0,0,0,0,0,0,0,0,0,0,NA
U129,2017-01-27,6,7,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
U245,2017-01-27,8,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,NA
U246,2017-01-27,24,24,1,0,1,0,0,0,0,0,0,0,0,0,0,10,3,2,3,0,0,0,0,3,1,0,0,0,0,0,NA
U247,2017-01-27,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,NA
U248,2017-01-27,42,44,1,0,1,0,0,0,0,0,0,0,0,0,1,14,9,6,2,6,0,0,0,0,3,0,1,0,0,0,NA
U249,2017-01-27,14,14,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,3,0,0,0,1,1,1,1,2,0,0,NA
U250,2017-01-27,19,20,3,0,1,0,0,0,0,0,0,0,0,0,4,9,0,0,0,2,0,1,0,0,0,0,0,0,0,0,NA
U693,2017-01-27,16,14,3,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,2,0,0,0,0,1,0,0,0,0,0,NA
U694,2017-01-27,15,15,1,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,0,1,0,0,0,0,0,0,0,0,0,0,NA
U695,2017-01-27,23,23,1,0,2,0,0,0,0,0,0,0,0,0,5,5,2,4,0,2,0,0,0,0,1,0,1,0,0,0,NA
U697,2017-01-27,9,9,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,NA
U1353,2017-01-27,11,10,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,1,1,1,0,0,0,0,NA
U1356,2017-01-27,8,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,NA
U1357,2017-01-27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
U240,2017-01-30,17,17,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,7,0,0,0,0,0,1,1,0,0,0,0,0,NA
U251,2017-01-30,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA
U253,2017-01-30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
U254,2017-01-30,7,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,NA
U255,2017-01-30,22,23,2,0,2,0,0,0,0,0,0,0,0,0,5,7,1,2,2,2,0,0,0,0,0,0,0,0,0,0,NA
U256,2017-01-30,10,9,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,NA
U260,2017-01-30,19,19,0,0,1,0,0,0,0,0,0,0,0,0,1,6,3,3,1,2,0,0,0,0,0,1,0,1,0,0,NA
U261,2017-01-30,12,12,2,0,1,0,0,0,0,0,0,0,0,0,1,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA
U274,2017-01-30,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,NA
U307,2017-01-30,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,NA
U308,2017-01-30,8,8,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
U310,2017-01-30,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,NA
U349,2017-01-30,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,3,1,1,1,1,1,1,0,0,0,0,0,NA
U350,2017-01-30,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,NA
U376,2017-01-30,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,NA
U377,2017-01-30,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,NA
