ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U4934,isotope,SIS5434,BISPI4,85,BISPI4-85,NA,collected,N,NA,NA
U4935,isotope,SIS5435,BISPI9,1,BISPI9-1,NA,collected,N,NA,NA
U4936,isotope,SIS5436,BISPI9,5,BISPI9-5,NA,collected,N,NA,NA
U4937,isotope,SIS5437,BISPI1,80,BISPI1-80,NA,collected,N,NA,NA
U4938,isotope,SIS5438,BISCO5,4,BISCO5-4,NA,collected,N,NA,NA
U4939,isotope,SIS5439,BISCO5,6,BISCO5-6,NA,collected,N,NA,NA
U4940,isotope,SIS5440,BISCO5,8,BISCO5-8,NA,collected,N,NA,NA
U4941,isotope,SIS5441,BISCO5,11,BISCO5-11,NA,collected,N,NA,NA
U4942,isotope,SIS5442,BISHE3,13,BISHE3-13,NA,collected,N,NA,NA
U4943,isotope,SIS5443,BISHE3,15,BISHE3-15,NA,collected,N,NA,NA
U4944,isotope,SIS5444,BISHE4,1,BISHE4-1,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4.
U4945,isotope,SIS5445,BISHE4,3,BISHE4-3,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4.
U4946,isotope,SIS5446,BISHE4,5,BISHE4-5,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4.
U4947,isotope,SIS5447,BISHE4,7,BISHE4-7,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4.
U4948,isotope,SIS5448,BISHE4,9,BISHE4-9,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4.
U4949,isotope,SIS5449,BISHE4,12,BISHE4-12,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4.
U4950,isotope,SIS5450,BISHE3,8,BISHE3-8,NA,collected,N,NA,NA
U4951,isotope,SIS5451,BISHE3,11,BISHE3-11,NA,collected,N,NA,NA
U4952,isotope,SIS5452,BISHE3,17,BISHE3-17,NA,collected,N,NA,NA
U4953,isotope,SIS5453,BISHE4,14,BISHE4-14,NA,collected,N,NA,Renamed duplicate container BISHE3 to BISHE4.
